epoch,train_loss,val_acc,test_acc
1,1.390441,0.281709,0.298398
2,1.339250,0.391188,0.395416
3,1.305068,0.458611,0.468625
4,1.261163,0.446373,0.460837
5,1.240639,0.444370,0.457054
6,1.248708,0.459502,0.467957
7,1.221285,0.463952,0.470627
8,1.230388,0.451046,0.462172
9,1.216064,0.437917,0.452381
10,1.210607,0.440587,0.456609
11,1.210326,0.450378,0.466177
12,1.206545,0.460614,0.475968
13,1.200682,0.465065,0.474188
14,1.193837,0.456609,0.465065
15,1.185997,0.455051,0.470182
16,1.181155,0.475078,0.486204
17,1.177106,0.490877,0.492657
18,1.169972,0.479306,0.487984
19,1.159865,0.491544,0.500668
20,1.152163,0.510903,0.509568
21,1.148965,0.483534,0.493769
22,1.144616,0.517134,0.523142
23,1.136651,0.508901,0.516466
24,1.129001,0.509568,0.516689
25,1.125991,0.521807,0.530708
26,1.123369,0.496662,0.508901
27,1.133523,0.522252,0.535603
28,1.104807,0.521139,0.540053
29,1.106859,0.514464,0.521584
30,1.106031,0.521139,0.526035
31,1.099623,0.531598,0.546729
32,1.098687,0.533155,0.546061
33,1.083178,0.522697,0.530930
34,1.085339,0.537161,0.548287
35,1.070058,0.544059,0.558745
36,1.075437,0.537828,0.554295
37,1.062593,0.540053,0.554517
38,1.063525,0.556297,0.567423
39,1.052892,0.565198,0.570761
40,1.040219,0.557855,0.568313
41,1.040183,0.573876,0.580329
42,1.030843,0.572319,0.584780
43,1.023440,0.572541,0.582777
44,1.025216,0.582332,0.591010
45,1.010078,0.583445,0.597908
46,1.016093,0.572319,0.573209
47,1.018675,0.592568,0.599911
48,0.998376,0.587672,0.601914
49,1.003509,0.583000,0.584557
50,0.996450,0.592568,0.596128
51,0.994655,0.596796,0.605474
52,0.999260,0.595461,0.599243
53,0.983897,0.590343,0.592123
54,0.983517,0.605029,0.616155
55,0.980450,0.605474,0.617045
56,0.972308,0.595238,0.605474
57,0.968600,0.606809,0.619715
58,0.960455,0.611704,0.620383
59,0.962873,0.607477,0.617045
60,0.956388,0.609257,0.617267
61,0.951778,0.619270,0.622830
62,0.949664,0.614375,0.621273
63,0.940965,0.615932,0.623943
64,0.951997,0.621050,0.623053
65,0.943947,0.622830,0.628616
66,0.936449,0.619493,0.625723
67,0.938189,0.619938,0.626168
68,0.928619,0.627726,0.629283
69,0.935090,0.624833,0.630396
70,0.930442,0.625723,0.631509
